Item code,Short description,Product Group
ACPOESTDPWRINDOOR,INDOOR AC POE INJECTOR Standard PWR,
AM180EA,"ANT, 1FT, 71.000-86.000GHz",
AM311WCIRCA,"ANT, 3FT, 10.125-11.700GHz, DP, RFU-C TYPE",
AM318CIRCA,"ANT, 3FT, 17.700-19.700GHz, DP, RFU-C TYPE",
AM413CIRCA,"ANT, 4FT, 12.700-13.250GHz, DP, RFU-C TYPE",
AM415CIRCA,"ANT, 4FT, 14.400-15.350GHz, DP, RFU-C TYPE",
AM-4-18-CIRC-A,"AN-1176-2 (AN-1 ANT,4FT,17.700-19.700GH)",
AMB3211CIRCA,"ANT, 2FT, 10.125-11.7GHz SP, RFU-CTYPE",
AMB3218CIRCA,"ANT, 2FT, 17.700-19.700GHz, DP, RFU-C TYPE",
AM-B3-2-80-A,"AN-1216-2 (ANT,SP,71-86GHz,Crgn&Std UG)",
AME3213CIRCA,"ANT, 2FT, 12.700-13.250GHz DP, RFU-C TYPE",
C13TYPEGPWRCORD18MUK,"CABLE, PWR, IEC60320 C13 TO BS 1363 (Type G), 13A/240 for PoE Inj",
CAT5E_SFUTP_OUTDOOR_50M,"WA-0574-2 (CAT5E SFUTP, RJ45, 50m outd)",
CBLGND,GROUND CABLE FOR IDU and ODU,
CBLPWROEOE16A22M,"Power cable Open-end/Open-end, 16A, 2.2m",
DATA_SHARING_SM_CBL_1M,AO-0381-0 (Fiber Data sharing SM cable),
DP2DP_EXT_CBL_XPIC_PROT,WA-0767-0 (DP2DP_EXT_CBL_XPIC_PR),
FIBERCLAMP6CBL4070MM,DUAL FEADER CLAMP FOR 4.0-7.0mm CABLE 6 WAY.,
IP-20_FO_SM_LC2LC_ARM_20M,AO-0237-0 (IP-20_FO_SM_LC2LC_ARM_20m),
IP-20_FO_SM_LC2LC_ARM_50M,AO-0199-1 (IP-20_FO_SM_LC2LC_ARM_50m),
IP-20C_DUAL_SPLTR_KIT_18G,MK-7446-0 (IP-20C DUAL SPLITTER KIT 18G),
IP-20C_DUAL_SPLTR_KIT_23G,MK-7447-0 (IP-20C DUAL SPLITTER KIT 23G),
IP-20C_OMT_KIT_23G,MK-7406-0 (IP-20C OMT kit 23G),
IP20CDCCONN12AWG,IP-20C DC Conn 12AWG for IP-20C-HP-R2,
IP-20C-E-15-420-8W15-H-ESS,22-0387-0 (IP-20C-E-15-420-8W15-H-ESS),
IP-20C-E-15-420-8W15-L-ESS,22-0388-0 (IP-20C-E-15-420-8W15-L-ESS),
IP20CE18LHESS,"IP-20C, Dual Core 18GHz, All Outdoor",
IP20CE18LLESS,"IP-20C, Dual Core 18GHz, All Outdoor",
IP20COMTKIT18G,IP-20C OMT kit 18GHz,
IP-20E-OMT-INT-A,AK-0284-0 (IP-20E OMT Interface),
IP-20E-OMT-KIT,MK-7495-2 (IP-20E-OMT-kit),
IP20LICXE4ELEC,IP-20 Extended LIC Eth-4x1GE elec,
IP20N1RU5SLOTBASE1X48V,IP-20N 1RU/5-slot base package w/ 1x48v,
IP-20N-2RU/10-SLOT-BASE-2X48V,24-A004-0 (IP-20N 2RU/10-slot base pack),
IP20TCCU,IP-20 TCC-U,
IP50CE18LH,"IP-50C, Dual Core 18GHz, All Outdoor",
IP50CE18LL,"IP-50C, Dual Core 18GHz, All Outdoor",
IP-50C-E-18W-H-H,33-0018H-0 (IP-50C-E-18w-H-H),
IP-50C-E-18W-H-L,33-0018L-0 (IP-50C-E-18w-H-L),
IP-50C-E-23W-H,33-0020H-0 (IP-50C-E-23w-H),
IP-50C-E-23W-L,33-0020L-0 (IP-50C-E-23w-L),
IP-50E-DX0H-H-ESSQ,32-0001-1 (IP-50E AO HP TH(TX 81-86G/RX),
IP-50E-DX0H-L-ESSQ,32-0002-1 (IP-50E AO HP TL (TX71-76G/RX),
OUTDOORDCCBL2X14AWGDRUM,Outdoor DC cbl 2x14AWG drum,
SFP+10GBASE-LR,"AO-0258-0 (XCVR,SFP+,1310nm,SM,10 Gbit/)",
SFP+10GBASE-LR10-EXT-TEMP,"AO-0264-0 (AO-0264-0 (XCVR,SFP+,1310nm)",
SFP-GE-COPER-EXT-TMP-LOS-DIS,"AO-0228-0 (XCVR,SFP,COPPER 1000BASE-T,R)",
SFP-GE-LX-EXT-TEMP,"AO-0097-0 (SFP OPTICAL 1000Base-LX,EXT)",
SL-10GE-PORT,SL-0386-0 (SL-10GE-Port),
SLACM,"SL-ACM, per carrier",
SL-CAPACITY-2G,"SL-0356-0 (SL - Capacity 2G, per carrie)",
SL-CAPACITY-300M,"SL-0290-0 (SL - Capacity 300M, per ca)",
SLCAPACITY500M,"SL-Capacity 500M, per carrier",
SLEDGECETNODE,SL-Edge-CET-Node mode,
SL-L1-LINK-BONDING,SL-0386-0 (Act.Key L1 Link Bonding),
SL-LACP,SL-0405-0 (Act.Key - LACP),
SL-MAIN-CARD-REDUNDANCY,SL-0328-0 (SL - Main card redundancy),
SLMCABC,"SL-MC-ABC, per carrier",
SLMMWCAPACITY1G,Millimeter-wave 1G capacity per unit,
SL-MMW-CAPACITY-5G,SL-0414-0 (Millimeter-wave 5G capacity),
SL-MMW-CAPACITY-6G,SL-0415-0 (Millimeter-wave 6G capacity),
SL-MMW-XPIC,SL-0432-0 (millimeter-wave SL XPIC),
SL-UPG-300M-500M,SL-0384-0 (Act.Key - Upg 300M - 500M),
SL-UPG-500M-650M,"SL-0363-0 (SL - Upg 500M - 650M, per ca)",
SL-UPG-650M-1G,"SL-0364-0 (SL - Upg 650M - 1G, per carr)",
SLXPIC,"SL-XPIC, per carrier",
SOURCE_SHARING_1M,"WA-0640-1 (CABLE,TNC RA TO TNC RA,1M,)",
