Pat Power's - Beverages
Stock period: June 05th to July 05th 2026
"Source: Total Stock Control month-end report, closing stock"

Material Code,Product,Full Description,UoM,Units per Pack,Pack Type,Close Stock,Open Stock,Group
DRA-DRBIRR-30L,DR BIRRA MORETTI 30L,DR BIRRA MORETTI 30L (Draught),pint,52,keg,109.0,130.0,Draught
DRA-DRCARL-50L,DR CARLSBERG 50L,DR CARLSBERG 50L (Draught),pint,88,keg,295.0,440.0,Draught
DRA-DRCOOR-50L,DR COORS 50L,DR COORS 50L (Draught),pint,88,keg,748.0,862.0,Draught
DRA-DRGUIN-50L,DR GUINNESS 50L,DR GUINNESS 50L (Draught),pint,88,keg,682.0,1892.0,Draught
DRA-DRHEIN-8L,DR HEINEKEN 0.0 8L,DR HEINEKEN 0.0 8L (Draught),pint,14,keg,35.0,70.0,Draught
DRA-DRHEIN-50L,DR HEINEKEN 50L,DR HEINEKEN 50L (Draught),pint,88,keg,88.0,528.0,Draught
DRA-DRORCH-30L,DR ORCHARD THIEVES 30L,DR ORCHARD THIEVES 30L (Draught),pint,52,keg,73.0,151.0,Draught
DRA-DRROCK-30L,DR ROCKSHORE CIDER 30L,DR ROCKSHORE CIDER 30L (Draught),pint,52,keg,52.0,101.0,Draught
DRA-DRSMIT-30L,DR SMITHWICKS 30L,DR SMITHWICKS 30L (Draught),pint,52,keg,68.0,42.0,Draught
BOT-BUDWLN-33CL,BUDWEISER L/N 33CL,BUDWEISER L/N 33CL (Bottle Beer),bottle,24,case,76.0,23.0,Bottle Beer
BOT-BULMCAN-56.8CL,BULMERS CAN 56.8CL,BULMERS CAN 56.8CL (Bottle Beer),can,24,case,460.0,625.0,Bottle Beer
BOT-BULMLN,BULMERS L/N,BULMERS L/N (Bottle Beer),bottle,24,case,37.0,42.0,Bottle Beer
BOT-BULMLIGH-33CL,BULMERS LIGHT BTL 33CL,BULMERS LIGHT BTL 33CL (Bottle Beer),bottle,24,case,41.0,44.0,Bottle Beer
BOT-BULMPINT,BULMERS PINT BTL,BULMERS PINT BTL (Bottle Beer),bottle,24,case,0.0,219.0,Bottle Beer
BOT-COORBTL-33CL,COORS BTL 33CL,COORS BTL 33CL (Bottle Beer),bottle,24,case,34.0,104.0,Bottle Beer
BOT-COROLN-33CL,CORONA L/N 33CL,CORONA L/N 33CL (Bottle Beer),bottle,24,case,243.0,115.0,Bottle Beer
BOT-ERDINA-50CL,ERDINGER N/A BTL 50CL,ERDINGER N/A BTL 50CL (Bottle Beer),bottle,24,case,50.0,54.0,Bottle Beer
BOT-GUIN00-55.8CL,GUINNESS 0.0% CAN 55.8CL,GUINNESS 0.0% CAN 55.8CL (Bottle Beer),can,24,case,82.0,117.0,Bottle Beer
BOT-HEIN000-33CL,HEINEKEN 0.00 BTL 33CL,HEINEKEN 0.00 BTL 33CL (Bottle Beer),bottle,24,case,40.0,29.0,Bottle Beer
BOT-HEINBTL-35.5CL,HEINEKEN BTL 35.5CL,HEINEKEN BTL 35.5CL (Bottle Beer),bottle,24,case,28.0,51.0,Bottle Beer
BOT-KOPPSL-50CL,KOPPARBERG S/L BTL 50CL,KOPPARBERG S/L BTL 50CL (Bottle Beer),bottle,24,case,143.0,87.0,Bottle Beer
