TLI Group — location register
Sample data for TruCount

Reg No,Type,Contractor,DA Served From Location,Shelf
261-D-12844,Van,TLI Group,DA005,Floor
261-D-12844,Van,TLI Group,DA005,Shelf A1
261-D-12844,Van,TLI Group,DA005,Shelf A2
261-D-12844,Van,TLI Group,DA005,Shelf A3
261-D-12844,Van,TLI Group,DA005,Roof rack
261-G-3391,Van,TLI Group,DA008,Floor
261-G-3391,Van,TLI Group,DA008,Shelf A1
261-G-3391,Van,TLI Group,DA008,Shelf A2
261-G-3391,Van,TLI Group,DA008,Shelf A3
261-G-3391,Van,TLI Group,DA008,Roof rack
252-D-41207,Van,TLI Group,DA011,Floor
252-D-41207,Van,TLI Group,DA011,Shelf A1
252-D-41207,Van,TLI Group,DA011,Shelf A2
252-D-41207,Van,TLI Group,DA011,Shelf A3
252-D-41207,Van,TLI Group,DA011,Roof rack
252-MO-1188,Van,TLI Group,DA014,Floor
252-MO-1188,Van,TLI Group,DA014,Shelf A1
252-MO-1188,Van,TLI Group,DA014,Shelf A2
252-MO-1188,Van,TLI Group,DA014,Shelf A3
252-MO-1188,Van,TLI Group,DA014,Roof rack
251-C-9074,Van,TLI Group,DA017,Floor
251-C-9074,Van,TLI Group,DA017,Shelf A1
251-C-9074,Van,TLI Group,DA017,Shelf A2
251-C-9074,Van,TLI Group,DA017,Shelf A3
251-C-9074,Van,TLI Group,DA017,Roof rack
251-L-2213,Van,TLI Group,DA020,Floor
251-L-2213,Van,TLI Group,DA020,Shelf A1
251-L-2213,Van,TLI Group,DA020,Shelf A2
251-L-2213,Van,TLI Group,DA020,Shelf A3
251-L-2213,Van,TLI Group,DA020,Roof rack
242-D-58316,Van,TLI Group,DA023,Floor
242-D-58316,Van,TLI Group,DA023,Shelf A1
242-D-58316,Van,TLI Group,DA023,Shelf A2
242-D-58316,Van,TLI Group,DA023,Shelf A3
242-D-58316,Van,TLI Group,DA023,Roof rack
242-G-7702,Van,TLI Group,DA026,Floor
